#variables=E2,E1,W12
#zone i= 101 j= 101
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.20000000E-01  0.74015663E-05
  0.00000000E+00  0.39999999E-01  0.29422898E-04
  0.00000000E+00  0.59999999E-01  0.66018714E-04
  0.00000000E+00  0.79999998E-01  0.11740365E-03
  0.00000000E+00  0.99999998E-01  0.18398476E-03
  0.00000000E+00  0.12000000E+00  0.26628130E-03
  0.00000000E+00  0.14000000E+00  0.36482939E-03
  0.00000000E+00  0.16000000E+00  0.48006812E-03
  0.00000000E+00  0.18000000E+00  0.61220184E-03
  0.00000000E+00  0.20000000E+00  0.76103080E-03
  0.00000000E+00  0.22000000E+00  0.92573795E-03
  0.00000000E+00  0.23999999E+00  0.11046125E-02
  0.00000000E+00  0.25999999E+00  0.12946784E-02
  0.00000000E+00  0.27999999E+00  0.14911712E-02
  0.00000000E+00  0.29999999E+00  0.16867606E-02
  0.00000000E+00  0.31999999E+00  0.18703090E-02
  0.00000000E+00  0.33999999E+00  0.20246930E-02
  0.00000000E+00  0.35999999E+00  0.21224573E-02
  0.00000000E+00  0.37999999E+00  0.21152670E-02
  0.00000000E+00  0.39999999E+00  0.18978401E-02
  0.00000000E+00  0.41999999E+00  0.94090102E-03
  0.00000000E+00  0.43999999E+00  0.54831695E-03
  0.00000000E+00  0.45999999E+00  0.60627597E-03
  0.00000000E+00  0.47999999E+00  0.66740458E-03
  0.00000000E+00  0.49999999E+00  0.73184109E-03
  0.00000000E+00  0.51999999E+00  0.79975111E-03
  0.00000000E+00  0.53999999E+00  0.87132709E-03
  0.00000000E+00  0.55999999E+00  0.94678713E-03
  0.00000000E+00  0.57999999E+00  0.10263733E-02
  0.00000000E+00  0.59999999E+00  0.11103496E-02
  0.00000000E+00  0.61999999E+00  0.11989986E-02
  0.00000000E+00  0.63999999E+00  0.12926189E-02
  0.00000000E+00  0.65999999E+00  0.13915207E-02
  0.00000000E+00  0.67999998E+00  0.14960216E-02
  0.00000000E+00  0.69999998E+00  0.16064419E-02
  0.00000000E+00  0.71999998E+00  0.17230990E-02
  0.00000000E+00  0.73999998E+00  0.18463018E-02
  0.00000000E+00  0.75999998E+00  0.19763442E-02
  0.00000000E+00  0.77999998E+00  0.21134985E-02
  0.00000000E+00  0.79999998E+00  0.22580082E-02
  0.00000000E+00  0.81999998E+00  0.24100802E-02
  0.00000000E+00  0.83999998E+00  0.25698768E-02
  0.00000000E+00  0.85999998E+00  0.27375073E-02
  0.00000000E+00  0.87999998E+00  0.29130187E-02
  0.00000000E+00  0.89999998E+00  0.30963866E-02
  0.00000000E+00  0.91999998E+00  0.32875056E-02
  0.00000000E+00  0.93999998E+00  0.34861789E-02
  0.00000000E+00  0.95999998E+00  0.36921079E-02
  0.00000000E+00  0.97999998E+00  0.39048818E-02
  0.00000000E+00  0.99999998E+00  0.41239663E-02
  0.00000000E+00  0.10200000E+01  0.43486927E-02
  0.00000000E+00  0.10400000E+01  0.45782466E-02
  0.00000000E+00  0.10600000E+01  0.48116572E-02
  0.00000000E+00  0.10800000E+01  0.50477855E-02
  0.00000000E+00  0.11000000E+01  0.52853149E-02
  0.00000000E+00  0.11200000E+01  0.55227404E-02
  0.00000000E+00  0.11400000E+01  0.57583599E-02
  0.00000000E+00  0.11600000E+01  0.59902668E-02
  0.00000000E+00  0.11800000E+01  0.62163433E-02
  0.00000000E+00  0.12000000E+01  0.64342569E-02
  0.00000000E+00  0.12200000E+01  0.66414599E-02
  0.00000000E+00  0.12400000E+01  0.68351914E-02
  0.00000000E+00  0.12600000E+01  0.70124860E-02
  0.00000000E+00  0.12800000E+01  0.71701870E-02
  0.00000000E+00  0.13000000E+01  0.73049680E-02
  0.00000000E+00  0.13200000E+01  0.74133652E-02
  0.00000000E+00  0.13400000E+01  0.74918206E-02
  0.00000000E+00  0.13600000E+01  0.75367435E-02
  0.00000000E+00  0.13800000E+01  0.75445908E-02
  0.00000000E+00  0.14000000E+01  0.75119761E-02
  0.00000000E+00  0.14200000E+01  0.74358137E-02
  0.00000000E+00  0.14400000E+01  0.73135106E-02
  0.00000000E+00  0.14600000E+01  0.71432244E-02
  0.00000000E+00  0.14800000E+01  0.69242140E-02
  0.00000000E+00  0.15000000E+01  0.66573249E-02
  0.00000000E+00  0.15200000E+01  0.63456824E-02
  0.00000000E+00  0.15400000E+01  0.59957258E-02
  0.00000000E+00  0.15600000E+01  0.56188500E-02
  0.00000000E+00  0.15800000E+01  0.52342885E-02
